"ID","item_name","response"
"VB027","influencia_situacion_pais",7
"VB027","esfuerzo_es_suficiente",5
"VB027","sosten_economico_carrera",5
"VB0555","probable_continuar_estudios",7
"VB0555","estudiar_vale_la_pena",9
"VB0555","considera_trabajar",0
"VB0555","probabilidad_cambiar_planes",3
"VB0555","probabilidad_carrera_no_gusta",6
"VB0555","influencia_situacion_pais",8
"VB0555","esfuerzo_es_suficiente",5
"VB0555","sosten_economico_carrera",7
"VB556","probable_continuar_estudios",8
"VB556","estudiar_vale_la_pena",8
"VB556","considera_trabajar",1
"VB556","probabilidad_cambiar_planes",6
"VB556","probabilidad_carrera_no_gusta",8
"VB556","influencia_situacion_pais",9
"VB556","esfuerzo_es_suficiente",5
"VB556","sosten_economico_carrera",9
"VB030","probable_continuar_estudios",6
"VB030","estudiar_vale_la_pena",6
"VB030","considera_trabajar",1
"VB030","probabilidad_cambiar_planes",5
"VB030","probabilidad_carrera_no_gusta",7
"VB030","influencia_situacion_pais",7
"VB030","esfuerzo_es_suficiente",4
"VB030","sosten_economico_carrera",8
"VB031","probable_continuar_estudios",10
"VB031","estudiar_vale_la_pena",10
"VB031","considera_trabajar",0
"VB031","probabilidad_cambiar_planes",10
"VB031","probabilidad_carrera_no_gusta",1
"VB031","influencia_situacion_pais",1
"VB031","esfuerzo_es_suficiente",5
"VB031","sosten_economico_carrera",7
"VB032","probable_continuar_estudios",8
"VB032","estudiar_vale_la_pena",8
"VB032","considera_trabajar",0
"VB032","probabilidad_cambiar_planes",10
"VB032","probabilidad_carrera_no_gusta",3
"VB032","influencia_situacion_pais",3
"VB032","esfuerzo_es_suficiente",5
"VB032","sosten_economico_carrera",7
"VB033","probable_continuar_estudios",10
"VB033","estudiar_vale_la_pena",6
"VB033","considera_trabajar",1
"VB033","probabilidad_cambiar_planes",4
"VB033","probabilidad_carrera_no_gusta",4
"VB033","influencia_situacion_pais",1
"VB033","esfuerzo_es_suficiente",5
"VB033","sosten_economico_carrera",7
"VB034","probable_continuar_estudios",9
"VB034","estudiar_vale_la_pena",8
"VB034","considera_trabajar",1
"VB034","probabilidad_cambiar_planes",7
"VB034","probabilidad_carrera_no_gusta",3
"VB034","influencia_situacion_pais",7
"VB034","esfuerzo_es_suficiente",5
"VB034","sosten_economico_carrera",5
"VB035","probable_continuar_estudios",10
"VB035","estudiar_vale_la_pena",10
"VB035","considera_trabajar",1
"VB035","probabilidad_cambiar_planes",4
"VB035","probabilidad_carrera_no_gusta",1
"VB035","influencia_situacion_pais",4
"VB035","esfuerzo_es_suficiente",5
"VB035","sosten_economico_carrera",1
"VB036","probable_continuar_estudios",9
"VB036","estudiar_vale_la_pena",10
"VB036","considera_trabajar",0
"VB036","probabilidad_cambiar_planes",9
"VB036","probabilidad_carrera_no_gusta",3
"VB036","influencia_situacion_pais",8
"VB036","esfuerzo_es_suficiente",5
"VB036","sosten_economico_carrera",9
"VB037","probable_continuar_estudios",10
"VB037","estudiar_vale_la_pena",8
"VB037","considera_trabajar",1
"VB037","probabilidad_cambiar_planes",4
"VB037","probabilidad_carrera_no_gusta",6
"VB037","influencia_situacion_pais",8
"VB037","esfuerzo_es_suficiente",4
"VB037","sosten_economico_carrera",4
"VB038","probable_continuar_estudios",9
"VB038","estudiar_vale_la_pena",10
"VB038","considera_trabajar",0
"VB038","probabilidad_cambiar_planes",4
"VB038","probabilidad_carrera_no_gusta",6
"VB038","influencia_situacion_pais",5
"VB038","esfuerzo_es_suficiente",5
"VB038","sosten_economico_carrera",10
"VB039","probable_continuar_estudios",9
"VB039","estudiar_vale_la_pena",7
"VB039","considera_trabajar",1
"VB039","probabilidad_cambiar_planes",3
"VB039","probabilidad_carrera_no_gusta",2
"VB039","influencia_situacion_pais",3
"VB039","esfuerzo_es_suficiente",3
"VB039","sosten_economico_carrera",6
"VB040","probable_continuar_estudios",10
"VB040","estudiar_vale_la_pena",9
"VB040","considera_trabajar",0
"VB040","probabilidad_cambiar_planes",6
"VB040","probabilidad_carrera_no_gusta",4
"VB040","influencia_situacion_pais",5
"VB040","esfuerzo_es_suficiente",3
"VB040","sosten_economico_carrera",5
"VB041","probable_continuar_estudios",10
"VB041","estudiar_vale_la_pena",8
"VB041","considera_trabajar",1
"VB041","probabilidad_cambiar_planes",2
"VB041","probabilidad_carrera_no_gusta",9
"VB041","influencia_situacion_pais",8
"VB041","esfuerzo_es_suficiente",5
"VB041","sosten_economico_carrera",4
"VB042","probable_continuar_estudios",7
"VB042","estudiar_vale_la_pena",5
"VB042","considera_trabajar",1
"VB042","probabilidad_cambiar_planes",7
"VB042","probabilidad_carrera_no_gusta",9
"VB042","influencia_situacion_pais",6
"VB042","esfuerzo_es_suficiente",5
"VB042","sosten_economico_carrera",5
"VB043","probable_continuar_estudios",2
"VB043","estudiar_vale_la_pena",6
"VB043","considera_trabajar",1
"VB043","probabilidad_cambiar_planes",6
"VB043","probabilidad_carrera_no_gusta",7
"VB043","influencia_situacion_pais",8
"VB043","esfuerzo_es_suficiente",5
"VB043","sosten_economico_carrera",5
"VB044","probable_continuar_estudios",1
"VB044","estudiar_vale_la_pena",4
"VB044","considera_trabajar",1
"VB044","probabilidad_cambiar_planes",1
"VB044","probabilidad_carrera_no_gusta",10
"VB044","influencia_situacion_pais",6
"VB044","esfuerzo_es_suficiente",5
"VB044","sosten_economico_carrera",1
"VB045","probable_continuar_estudios",4
"VB045","estudiar_vale_la_pena",6
"VB045","considera_trabajar",1
"VB045","probabilidad_cambiar_planes",10
"VB045","probabilidad_carrera_no_gusta",7
"VB045","influencia_situacion_pais",6
"VB045","esfuerzo_es_suficiente",5
"VB045","sosten_economico_carrera",7
"VB046","probable_continuar_estudios",10
"VB046","estudiar_vale_la_pena",10
"VB046","considera_trabajar",1
"VB046","probabilidad_cambiar_planes",10
"VB046","probabilidad_carrera_no_gusta",10
"VB046","influencia_situacion_pais",10
"VB046","esfuerzo_es_suficiente",5
"VB046","sosten_economico_carrera",10
"VB047","probable_continuar_estudios",6
"VB047","estudiar_vale_la_pena",5
"VB047","considera_trabajar",1
"VB047","probabilidad_cambiar_planes",4
"VB047","probabilidad_carrera_no_gusta",7
"VB047","influencia_situacion_pais",9
"VB047","esfuerzo_es_suficiente",4
"VB047","sosten_economico_carrera",6
